104	57548	17930	17251
105	55496	18032	17562
106	53542	18722	17928
107	51421	19437	18434
108	49777	19768	19175
109	47498	20574	19830
110	45504	21234	20880
111	43558	21648	21933
112	41507	21941	22519
113	39737	22164	23158
114	38404	22404	23418
115	36474	22380	24060
116	35113	22774	24260
117	34110	22937	24699
118	33621	23347	25426
119	32579	23580	25359
120	32287	23777	26107
121	31828	24082	26800
122	31404	24531	26858
123	30776	24936	27577
124	30930	25184	28368
125	30703	26363	29133
126	30706	26767	30279
127	31007	27737	31101
128	31485	28421	31892
129	31492	29033	32635
130	32047	29437	33831
131	32314	30601	34926
132	32910	31210	35270
133	33308	31617	36767
134	33529	32306	37683
135	33432	33017	36833
136	33708	33242	36337
137	33958	34091	34730
138	32665	34078	32582
139	30853	34099	29662
140	28488	33213	27127
141	26092	32382	25185
142	23502	30034	23141
143	21080	27766	21907
144	18945	24277	20719
145	17793	21729	19518
146	16957	19779	18643
147	16224	18120	17754
148	16044	17056	17354
149	15566	16663	17386
150	15660	16046	16702
151	16104	15847	16025
152	16282	15779	15504
153	16656	15821	14901
154	16875	15483	14871
155	17326	15526	14580
156	17721	15042	14264
157	17775	14942	13833
158	18029	14344	13992
159	18145	14164	13606
160	18727	14261	13283
161	19127	14550	13612
162	20234	14550	13974
163	21951	14882	14287
164	23893	15042	14368
165	25369	15360	14511
166	26651	15672	14796
167	27941	15814	15222
168	28561	16087	15621
169	29609	16772	16167
170	30503	17152	17101
171	30513	18061	17690
172	30457	18988	18449
173	29258	20405	19479
174	28421	22245	20805
175	26841	24171	22104
176	25086	25544	23520
177	23019	26376	24693
178	21183	26655	25098
179	19019	27610	26470
180	16652	28117	27260
181	14300	28271	27936
182	12352	28450	28175
183	10560	27464	28383
184	9294	27034	27400
185	8014	25853	25691
186	6777	24198	24090
187	5763	22308	22078
188	5241	20902	19663
189	4457	19035	16804
190	4384	16466	14255
191	4068	14708	12126
192	3740	12538	10162
193	3703	10712	8741
194	3737	9628	7513
195	3648	8432	5960
196	3723	7050	4962
197	3873	6010	4435
198	3889	5155	3922
199	3941	4472	3599
200	4048	4216	3411
201	4071	3932	3471
202	4080	3756	3470
203	4120	3791	3436
204	4038	3906	3545
205	4195	3887	3520
206	4212	3911	3595
207	4373	4166	3703
208	4506	4229	3867
209	4508	4194	3871
210	4646	4153	4035
211	4694	4173	3950
212	4938	4237	3948
213	4916	4372	4052
214	5129	4411	4086
215	5298	4608	4476
216	5482	4760	4519
217	5805	4920	4543
218	5793	5040	4731
219	6038	5298	4899
220	6428	5331	5079
221	6701	5657	5250
222	6898	5748	5424
223	7157	5872	5675
224	7588	6208	5978
225	7836	6557	6064
226	8167	6609	6468
227	8453	7194	6554
228	8950	7304	6754
229	9521	7589	7165
230	9902	8124	7557
231	10621	8447	7710
232	10948	9058	8274
233	11913	9288	8518
234	12372	10124	9281
235	13380	10630	9749
236	14510	11345	10418
237	15875	12232	10802
238	17422	12750	11713
239	19446	13945	12619
240	21292	15315	13325
241	23331	16945	14200
242	24968	18895	15715
243	26853	20815	17145
244	28524	23109	18908
245	30428	25061	21204
246	32460	27480	23259
247	35540	29126	25863
248	40195	31358	28396
249	45977	33955	30832
250	54270	36635	33935
251	71749	41105	37323
252	76961	50872	41893
253	87201	75686	54849
254	287468	286168	224811
255	814469	1023829	1198850
